year,access_to_electricity_rural_percent_of_rural_population,agricultural_irrigated_land_percent_of_total_agricultural_land,agricultural_land_percent_of_land_area,agricultural_land_sq_km,agricultural_raw_materials_exports_percent_of_merchandise_exports,agricultural_raw_materials_imports_percent_of_merchandise_imports,agriculture_forestry_and_fishing_value_added_percent_of_gdp,agriculture_forestry_and_fishing_value_added_current_us,annual_freshwater_withdrawals_agriculture_percent_of_total_freshwater_withdrawal,arable_land_percent_of_land_area,arable_land_hectares_per_person,arable_land_hectares,average_precipitation_in_depth_mm_per_year,cereal_production_metric_tons,cereal_yield_kg_per_hectare,crop_production_index_2014_2016_100,employment_in_agriculture_percent_of_total_employment_modeled_ilo_estimate,employment_in_agriculture_female_percent_of_female_employment_modeled_ilo_estimate,employment_in_agriculture_male_percent_of_male_employment_modeled_ilo_estimate,fertilizer_consumption_percent_of_fertilizer_production,fertilizer_consumption_kilograms_per_hectare_of_arable_land,food_production_index_2014_2016_100,forest_area_percent_of_land_area,forest_area_sq_km,land_area_sq_km,land_under_cereal_production_hectares,livestock_production_index_2014_2016_100,permanent_cropland_percent_of_land_area,rural_land_area_sq_km,rural_land_area_where_elevation_is_below_5_meters_percent_of_total_land_area,rural_land_area_where_elevation_is_below_5_meters_sq_km,rural_population,rural_population_percent_of_total_population,rural_population_growth_annual_percent,rural_population_living_in_areas_where_elevation_is_below_5_meters_percent_of_total_population,surface_area_sq_km,n_disaster_events,n_drought_events,n_flood_events,n_storm_events,total_deaths,total_affected,total_damage_adj_000us,insured_damage_adj_000us,reconstruction_costs_adj_000us,storm_magnitude_mean,flood_magnitude_mean,drought_magnitude_mean,average_mean_surface_air_temperature_annual_mean_c,x5_year_smooth_gaussian_smooth,days_precip_over_20mm,agri_orientation_index,official_flows_agri_usd_m,cereal_yield_resid_d,any_insured_damage_reported.x,any_insured_damage_reported.y
2013,81.9,NA,41.81842573028809,124690,0.9872276113534892,0.6607777695483904,12.473425104412527,35412406693.32238,80.42914491,18.747694268370392,0.05476293741577872,5590000,2348,25817440.51,3531.8,99.79,29.7178644007855,19.548780785211495,36.408829290721,647.3991574473775,155.87495527728086,98.7,23.2899956400711,69443.78,298170,7309980,96.2,18.04004427004729,NA,NA,NA,51924835,50.8686311233794,-0.4770438470896125,NA,300000,8,0,0,8,7415,17944571,14008568,967389,0,315,NA,NA,26.36,26.33,36.85,0.38,139.099701,168.60780369943012,TRUE,TRUE
2014,84.59999999999998,NA,41.91568568266425,124980,1.035727613898205,0.6277144336526154,12.271681621144587,36506234786.34628,81.2222888,18.747694268370392,0.053870623578005865,5590000,2348,26739121.85,3637.4,102.04,29.079718142995105,19.607412191489505,35.3757478407281,646.5567937898792,157.34347048300538,100.59,23.40699600898816,69792.64,298170,7351234,97.2,18.13730422242345,NA,NA,NA,51635312,49.7607599787632,-0.5591412578836696,NA,300000,9,0,0,9,326,13068983,1445460,0,0,157,NA,NA,26.23,26.37,34.14,0.35,94.586058,222.95413146440652,FALSE,FALSE
2015,83.2,NA,42.01294563504041,125270,0.9483873671391616,0.6242818208847991,10.996499154862333,33698317641.272503,78.63334915,18.747694268370392,0.05307987071528648,5590000,2348,25669246.05,3556.1,100.38,27.851386470164,18.370934296067695,34.1778796356921,893.7371988779905,139.42343470483004,100.77,23.52399637790522,70141.5,298170,7218290,101.67,18.23456417479961,282119.58210558,4.1356910066334,12170.141244,51440231,48.845095225477294,-0.3785208930182679,4.58854136068604,300000,11,1,0,10,148,3787892,2670123,0,0,213.4,NA,NA,26.45,26.41,23.41,0.38,119.843792,90.40045922938282,FALSE,FALSE
2016,87.9,NA,42.11020558741658,125560,0.836956810268285,0.6833891921836025,10.205125532561595,32516285638.496246,77.48213491,18.747694268370392,0.05237234594353554,5590000,2348,24846678.08,3529,97.58,26.7234128847963,17.4536608992396,32.7687039585956,714.9874598726104,169.62504472271914,98.64,23.641010161988127,70490.4,298170,7040630,101.13,18.331824127175768,NA,NA,NA,51327633,48.0885251848825,-0.21913084630501373,NA,300000,8,0,0,8,34,2971512,229048,0,0,166.25,NA,NA,26.8,26.45,31.13,0.4,101.210295,12.046786994359177,FALSE,FALSE
2017,90,NA,42.22423449709897,125900,0.8989138548788665,0.5259047416996178,10.182954131410888,33449042759.145557,74.03928741,18.747694268370392,0.05170195960508323,5590000,2348,27191819.46,3692.3,103.23,25.1806891263771,15.4542208743718,31.2464167227103,652.8852626366878,212.59874776386405,101.95,23.758023946071035,70839.3,298170,7364502,97.94,18.445853036858168,NA,NA,NA,51247601,47.3989517645656,-0.15604549581618257,NA,300000,8,0,0,8,200,2969448,174391,0,0,128.75,NA,NA,26.37,26.49,39.58,0.37,161.115263,124.09311475933586,FALSE,FALSE
2018,91.3,NA,42.301371700707655,126130,0.9412549329679912,0.6634644350796496,9.650140358153065,33470729841.555763,73.75213316999998,18.747694268370392,0.051066417064251614,5590000,2348,26838576.91,3670.5,102.8,24.034165532816495,14.4820910978846,30.1041089148308,366.21123428811006,169.0010733452594,101.61,23.875004192239327,71188.1,298170,7311944,98.19,18.522990240466847,NA,NA,NA,51220023,46.7911102535246,-0.0538277352188381,NA,300000,7,0,0,7,302,9348889,725856,0,0,175,NA,NA,26.54,26.54,29.74,0.3,227.957913,51.03944252431193,FALSE,FALSE
2019,93,NA,42.378508904316334,126360,1.126253009525528,0.6776980483483399,8.820323747305245,33237044033.10208,78.85296596,18.747694268370392,0.0504491312880702,5590000,2348,26794250.87,3737.9,101.81,22.6054798824319,13.8053943166589,28.3396849134584,1403.631654475177,195.48425760286224,101.33,23.992017976322234,71537,298170,7168316,100.14,18.60012744407553,NA,NA,NA,51285077,46.2842140051983,0.1269283357294978,NA,300000,8,1,0,7,92,6041139,710121,0,0,156.66666666666666,NA,NA,26.6,26.6,25.14,0.28,204.120934,67.18577028928851,FALSE,FALSE
2020,94.7,NA,42.455646107925006,126590,1.147569419521537,0.6026371474292918,10.185311031761549,36845479325.20524,77.56425262,18.747694268370392,0.049874526754088,5590000,2348,27413962.2,3769.4,102.93,24.5081370532987,15.1527334075605,30.5659590109377,658.239436810691,217.11127012522363,100.67,24.109031760405134,71885.9,298170,7272792,94.27,18.677264647684208,NA,NA,NA,51436589,45.8922280104023,0.29499542944395657,NA,300000,6,0,0,6,190,5374740,1299873,0,0,173,NA,NA,26.72,26.67,33.55,0.26,691.672592,47.43209805426499,FALSE,FALSE
2021,96.5,NA,42.536137102994935,126830,1.292994926526322,0.7811065670541395,10.069164020487577,39681302647.115295,76.23378490999998,18.747694268370392,0.049424872204875375,5590000,2348,28247959.21,3832.9,105.11,24.325505789458,15.4484408461727,30.091462976721,329.5469279188413,232.02540250447228,100.25,24.226045544488045,72234.8,298170,7369907,86.51,18.75775564275413,NA,NA,NA,51517019,45.5495897489224,0.1562451630884293,NA,300000,8,0,0,8,567,12417263,1218096,0,0,171,NA,NA,26.69,26.75,36.87,0.24,126.214914,59.67842581924106,FALSE,FALSE
2022,91.1,NA,42.39259482845357,126402,1.3627672355911304,0.7343497408522681,9.55176804414326,38622895943.311646,74.62601712999998,18.747694268370392,0.04905043189914375,5590000,2348,28012590.81,3821.5,103.98,22.836351832995895,14.9761766056099,28.3740176745374,198.60376015096367,285.42522361359573,100.51,24.34305932857095,72583.69999999998,298170,7330167,90.42,18.614213368212766,NA,NA,NA,51523010,45.209765643167295,0.011628490529160889,NA,300000,6,0,0,6,521,6654242,178290,0,0,138.25,NA,NA,26.61,26.83,38.56,0.24,298.431966,-2.9752464157825536,FALSE,FALSE
2023,97.6,NA,42.66894724486032,127226,1.2011901338257955,0.5589857798154365,9.400366528706984,41084830895.31521,NA,18.747694268370392,0.04865472767848824,5590000,NA,28465199.05,3869.2,NA,22.037092013094096,14.3979165521749,27.434083723344095,459.17958019401385,199.449373881932,NA,24.460073112653856,72932.6,298170,7356944,NA,18.89056578461951,NA,NA,NA,51558262,44.8757283831149,0.06839651993092055,NA,300000,7,0,0,7,47,6878482,335486,0,0,240,NA,NA,26.92,26.92,35.28,0.3,605.005913,-6.528918650806457,FALSE,FALSE
2024,NA,NA,NA,NA,1.0855543721431815,0.5540094411203426,9.08252678487007,41926533969.63257,NA,NA,NA,NA,NA,NA,NA,NA,21.1858721910537,13.7901060191558,26.4274001160878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51605924,44.5479016784523,0.09240028974993604,NA,NA,12,0,0,11,343,24372786,788207,0,0,175.33333333333334,NA,NA,27.16,27.01,NA,0.37,NA,NA,FALSE,FALSE
2025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.4878884895503,13.3015608838713,25.5900582827178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,0,0,11,525,31411350,552000,0,0,189.5,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
2026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,7,645612,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
